team,year,round,details
Los Angeles Clippers Future NBA Draft Picks,2026,Second,"Less favorable of (i) LAC and (ii) most favorable of BOS, IND and MIA to BRK then most favorable of all to MEM (via MIA to IND to MIL; via MEM swap of IND or MIA for BOS; via MEM swap of BOS, IND or MIA for LAC; via LAC to HOU to BRK) ; MEM 31-42 (via UTH to ATL) 1"
Los Angeles Clippers Future NBA Draft Picks,2027,First,"Least / less favorable of LAC, DEN 6-30 and OKC (via OKC swap of OKC or DEN for LAC) 1"
Los Angeles Clippers Future NBA Draft Picks,2027,Second,To UTH (via ATL to LAC) 0
Los Angeles Clippers Future NBA Draft Picks,2028,First,To PHL 0
Los Angeles Clippers Future NBA Draft Picks,2028,Second,More favorable of LAC and CHA to CHA then other to DET [DET may convey to UTH] (via CHA to DAL) 0
Los Angeles Clippers Future NBA Draft Picks,2029,First,1-3 Own; 4-30 Own or PHL (via PHL swap for LAC) 1
Los Angeles Clippers Future NBA Draft Picks,2029,Second,To SAN (via PHL) 0
Los Angeles Clippers Future NBA Draft Picks,2030,First,Own 1
Los Angeles Clippers Future NBA Draft Picks,2030,Second,More favorable of LAC and UTH to CHA then other to LAC (via LAC to UTH) 0
Los Angeles Clippers Future NBA Draft Picks,2031,First,Own 1
Los Angeles Clippers Future NBA Draft Picks,2031,Second,Own 1
Los Angeles Clippers Future NBA Draft Picks,2032,First,Own 1
Los Angeles Clippers Future NBA Draft Picks,2032,Second,Own 1
Los Angeles Lakers Future NBA Draft Picks,2026,First,Own 1
Los Angeles Lakers Future NBA Draft Picks,2026,Second,To TOR (via CLE to MIA) 0
Los Angeles Lakers Future NBA Draft Picks,2027,First,1-4 Own; 5-30 to UTH 1
Los Angeles Lakers Future NBA Draft Picks,2027,Second,To BRK if LAL conveys 1st round pick to UTH in 2027 or to UTH if LAL does not convey 1st round pick to UTH in 2027 0
Los Angeles Lakers Future NBA Draft Picks,2028,First,Own 1
Los Angeles Lakers Future NBA Draft Picks,2028,Second,More favorable of LAL and WAS to ORL then other to WAS (via WAS to LAL to ORL; via LAL to WAS) 0
Los Angeles Lakers Future NBA Draft Picks,2029,First,To DAL 0
Los Angeles Lakers Future NBA Draft Picks,2029,Second,To WAS 0
Los Angeles Lakers Future NBA Draft Picks,2030,First,Own 1
Los Angeles Lakers Future NBA Draft Picks,2030,Second,To BRK 0
Los Angeles Lakers Future NBA Draft Picks,2031,First,Own 1
Los Angeles Lakers Future NBA Draft Picks,2031,Second,To BRK 0
Los Angeles Lakers Future NBA Draft Picks,2032,First,Own 1
Los Angeles Lakers Future NBA Draft Picks,2032,Second,Own 1
Memphis Grizzlies Future NBA Draft Picks,2026,First,"Two most favorable of (i) MEM, (ii) less favorable of PHX and WAS 1-8 [or (ii) PHX if WAS not conveyable] and (iii) ORL then least favorable of (i), (ii) and (iii) to CHA (via WAS swap for PHX; via MEM swap of ORL for PHX or WAS; via MEM swap for PHX, WAS or ORL; via PHX to CHA) 2"
Memphis Grizzlies Future NBA Draft Picks,2026,Second,"31-42 to LAC (via UTH to ATL) ; 43-60 to POR (via UTH to GOS) ; Most favorable LAC, BOS, IND and MIA (via MIA to IND; via MIL to MEM; via MEM swap of IND or MIA for BOS; via MEM swap of BOS, IND or MIA for LAC) 1"
Memphis Grizzlies Future NBA Draft Picks,2027,First,Own 1
Memphis Grizzlies Future NBA Draft Picks,2027,Second,To HOU (via LAC) 0
Memphis Grizzlies Future NBA Draft Picks,2028,First,Own 1
Memphis Grizzlies Future NBA Draft Picks,2028,Second,To BRK (via PHX) 0
Memphis Grizzlies Future NBA Draft Picks,2029,First,Own or swap for ORL 3-30 1
Memphis Grizzlies Future NBA Draft Picks,2029,Second,To BRK (via PHX) ; ORL if ORL 1-2 in 2029 ; POR (via PHL to IND) 1 + 1
Memphis Grizzlies Future NBA Draft Picks,2030,First,More favorable of (i) MEM and (ii) less favorable of PHX and WAS then least favorable of all to PHX (via WAS swap for PHX; via MEM swap for PHX or WAS) ; ORL 2
Memphis Grizzlies Future NBA Draft Picks,2030,Second,31-50 Own; 51-60 to MIN 1
Memphis Grizzlies Future NBA Draft Picks,2031,First,Own 1
Memphis Grizzlies Future NBA Draft Picks,2031,Second,More favorable of (i) MEM and (ii) less favorable of IND and MIA then least favorable of all to IND (via MIA swap for IND; via MEM swap for IND or MIA) 1
Memphis Grizzlies Future NBA Draft Picks,2032,First,Own 1
Memphis Grizzlies Future NBA Draft Picks,2032,Second,Own ; GOS 51-60 1 + 1
Miami Heat Future NBA Draft Picks,2026,First,Own 1
Miami Heat Future NBA Draft Picks,2026,Second,More favorable of (i) SAN and (ii) less favorable of MIA and IND to SAN then least favorable of all to MIN; less favorable of (i) BOS and (ii) more favorable of MIA and IND to ATL then most favorable of all to MEM or to BRK [MEM can swap this pick for LAC; LAC then conveyed to HOU which then conveyed to BRK] (via MIA to IND; via SAN swap for IND or MIA; via MIL to MEM; via MEM swap of IND or MIA for BOS; via BOS to ATL) 0
